username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
ThomasPM,Desarrollando el pensamiento algebraico,Desarrollando el pensamiento algebraico,,,,,block-v1:cmm+SYSDPA02+2020_2+type@course+block@course,"{""position"": 7}"
jromo,Desarrollando el pensamiento algebraico,Desarrollando el pensamiento algebraico,,,,,block-v1:cmm+SYSDPA02+2020_2+type@course+block@course,"{""position"": 10}"
UsuarioPruebaCMMEDU,Desarrollando el pensamiento algebraico,Desarrollando el pensamiento algebraico,,,,,block-v1:cmm+SYSDPA02+2020_2+type@course+block@course,"{""position"": 1}"
Caro_Ticona,Desarrollando el pensamiento algebraico,Desarrollando el pensamiento algebraico,,,,,block-v1:cmm+SYSDPA02+2020_2+type@course+block@course,"{""position"": 5}"
stefanmoss,Desarrollando el pensamiento algebraico,Desarrollando el pensamiento algebraico,,,,,block-v1:cmm+SYSDPA02+2020_2+type@course+block@course,"{""position"": 3}"
dancurimil,Desarrollando el pensamiento algebraico,Desarrollando el pensamiento algebraico,,,,,block-v1:cmm+SYSDPA02+2020_2+type@course+block@course,"{""position"": 7}"
UsuarioPruebaCMMEDU,Multiple Choice,Desarrollando el pensamiento algebraico > Módulo inicial > Consentimiento informado para docentes > Firma Consentimiento > Multiple Choice,b091ab9082964f1e929694ac2dd8440f_3_1,NOMBRE COMPLETO,usuario prueba,,block-v1:cmm+SYSDPA02+2020_2+type@problem+block@b091ab9082964f1e929694ac2dd8440f,"{""correct_map"": {""b091ab9082964f1e929694ac2dd8440f_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""b091ab9082964f1e929694ac2dd8440f_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""b091ab9082964f1e929694ac2dd8440f_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""b091ab9082964f1e929694ac2dd8440f_3_1"": {}, ""b091ab9082964f1e929694ac2dd8440f_2_1"": {}, ""b091ab9082964f1e929694ac2dd8440f_4_1"": {}}, ""last_submission_time"": ""2020-06-19T02:05:19Z"", ""attempts"": 2, ""score"": {""raw_possible"": 3, ""raw_earned"": 3}, ""done"": true, ""student_answers"": {""b091ab9082964f1e929694ac2dd8440f_3_1"": ""usuario prueba"", ""b091ab9082964f1e929694ac2dd8440f_2_1"": ""choice_0"", ""b091ab9082964f1e929694ac2dd8440f_4_1"": ""30000008-8""}, ""seed"": 1}"
UsuarioPruebaCMMEDU,Multiple Choice,Desarrollando el pensamiento algebraico > Módulo inicial > Consentimiento informado para docentes > Firma Consentimiento > Multiple Choice,b091ab9082964f1e929694ac2dd8440f_2_1,Pregunta 1,ACEPTO TÉRMINOS DE PARTICIPACIÓN,ACEPTO TÉRMINOS DE PARTICIPACIÓN,block-v1:cmm+SYSDPA02+2020_2+type@problem+block@b091ab9082964f1e929694ac2dd8440f,"{""correct_map"": {""b091ab9082964f1e929694ac2dd8440f_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""b091ab9082964f1e929694ac2dd8440f_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""b091ab9082964f1e929694ac2dd8440f_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""b091ab9082964f1e929694ac2dd8440f_3_1"": {}, ""b091ab9082964f1e929694ac2dd8440f_2_1"": {}, ""b091ab9082964f1e929694ac2dd8440f_4_1"": {}}, ""last_submission_time"": ""2020-06-19T02:05:19Z"", ""attempts"": 2, ""score"": {""raw_possible"": 3, ""raw_earned"": 3}, ""done"": true, ""student_answers"": {""b091ab9082964f1e929694ac2dd8440f_3_1"": ""usuario prueba"", ""b091ab9082964f1e929694ac2dd8440f_2_1"": ""choice_0"", ""b091ab9082964f1e929694ac2dd8440f_4_1"": ""30000008-8""}, ""seed"": 1}"
UsuarioPruebaCMMEDU,Multiple Choice,Desarrollando el pensamiento algebraico > Módulo inicial > Consentimiento informado para docentes > Firma Consentimiento > Multiple Choice,b091ab9082964f1e929694ac2dd8440f_4_1,RUT                              ,30000008-8,,block-v1:cmm+SYSDPA02+2020_2+type@problem+block@b091ab9082964f1e929694ac2dd8440f,"{""correct_map"": {""b091ab9082964f1e929694ac2dd8440f_3_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""b091ab9082964f1e929694ac2dd8440f_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}, ""b091ab9082964f1e929694ac2dd8440f_4_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""b091ab9082964f1e929694ac2dd8440f_3_1"": {}, ""b091ab9082964f1e929694ac2dd8440f_2_1"": {}, ""b091ab9082964f1e929694ac2dd8440f_4_1"": {}}, ""last_submission_time"": ""2020-06-19T02:05:19Z"", ""attempts"": 2, ""score"": {""raw_possible"": 3, ""raw_earned"": 3}, ""done"": true, ""student_answers"": {""b091ab9082964f1e929694ac2dd8440f_3_1"": ""usuario prueba"", ""b091ab9082964f1e929694ac2dd8440f_2_1"": ""choice_0"", ""b091ab9082964f1e929694ac2dd8440f_4_1"": ""30000008-8""}, ""seed"": 1}"
UsuarioPruebaCMMEDU,Blank Common Problem,Desarrollando el pensamiento algebraico > Módulo inicial > Reglamento Programa Suma y Sigue > Firma Reglamento > Blank Common Problem,035cfadb6e1141a8904ae05b4ad44de5_2_1,Pregunta 1,Declaro conocer y aceptar las condiciones académicas estipuladas por el Laboratorio de Educación del Centro de Modelamiento Matemático de la Facultad de Ciencias Físicas y Matemáticas de la Universidad de Chile en cuanto a la aprobación de los cursos.,Declaro conocer y aceptar las condiciones académicas estipuladas por el Laboratorio de Educación del Centro de Modelamiento Matemático de la Facultad de Ciencias Físicas y Matemáticas de la Universidad de Chile en cuanto a la aprobación de los cursos.,block-v1:cmm+SYSDPA02+2020_2+type@problem+block@035cfadb6e1141a8904ae05b4ad44de5,"{""correct_map"": {""035cfadb6e1141a8904ae05b4ad44de5_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""035cfadb6e1141a8904ae05b4ad44de5_2_1"": {}}, ""last_submission_time"": ""2020-06-19T23:38:50Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""035cfadb6e1141a8904ae05b4ad44de5_2_1"": ""choice_0""}, ""seed"": 1}"
