username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
ThomasPM,Dropdown,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Dropdown,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@ed5f79c3dd634585bc91f76ea44a638e,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {}}}"
jromo,Dropdown,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Dropdown,ed5f79c3dd634585bc91f76ea44a638e_2_1,Pregunta 1,la misma,la misma,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@ed5f79c3dd634585bc91f76ea44a638e,"{""correct_map"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {}}, ""last_submission_time"": ""2020-03-23T17:48:18Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 1}, ""done"": true, ""student_answers"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": ""la misma""}, ""seed"": 1}"
UsuarioPruebaCMMEDU,Dropdown,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Dropdown,ed5f79c3dd634585bc91f76ea44a638e_2_1,Pregunta 1,la misma,la misma,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@ed5f79c3dd634585bc91f76ea44a638e,"{""correct_map"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {}}, ""last_submission_time"": ""2020-03-31T19:37:51Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 1}, ""done"": true, ""student_answers"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": ""la misma""}, ""seed"": 1}"
Camila_Brito,Dropdown,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Dropdown,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@ed5f79c3dd634585bc91f76ea44a638e,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {}}}"
Caro_Ticona,Dropdown,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Dropdown,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@ed5f79c3dd634585bc91f76ea44a638e,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {}}}"
ricardof,Dropdown,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Dropdown,ed5f79c3dd634585bc91f76ea44a638e_2_1,Pregunta 1,distinta,la misma,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@ed5f79c3dd634585bc91f76ea44a638e,"{""correct_map"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {}}, ""last_submission_time"": ""2020-01-27T13:00:57Z"", ""attempts"": 2, ""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": ""distinta""}, ""seed"": 1}"
dancurimil,Dropdown,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Dropdown,ed5f79c3dd634585bc91f76ea44a638e_2_1,Pregunta 1,distinta,la misma,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@ed5f79c3dd634585bc91f76ea44a638e,"{""correct_map"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {}}, ""last_submission_time"": ""2020-01-29T04:10:18Z"", ""attempts"": 2, ""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": ""distinta""}, ""seed"": 1}"
Yaidor,Dropdown,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Dropdown,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@ed5f79c3dd634585bc91f76ea44a638e,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""ed5f79c3dd634585bc91f76ea44a638e_2_1"": {}}}"
ThomasPM,Multiple Choice,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@f678e9da98e34e6485c071ec8ebfa126,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""f678e9da98e34e6485c071ec8ebfa126_2_1"": {}}}"
jromo,Multiple Choice,Taller 3: Estrategias de conteo > Actividad 1: La duda de Carolina > La duda de Carolina #2 > Multiple Choice,f678e9da98e34e6485c071ec8ebfa126_2_1,Pregunta 1,c) que este contenido requiere el uso de muchas fórmulas.,a) la experiencia escolar que ella tuvo al aprender este contenido.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@f678e9da98e34e6485c071ec8ebfa126,"{""correct_map"": {""f678e9da98e34e6485c071ec8ebfa126_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""f678e9da98e34e6485c071ec8ebfa126_2_1"": {}}, ""last_submission_time"": ""2020-03-23T17:48:25Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""f678e9da98e34e6485c071ec8ebfa126_2_1"": ""choice_2""}, ""seed"": 1}"
